tyden,vek,umrti
2021-W31,0-29,18
2021-W31,40-49,58
2021-W32,0-29,19
2021-W32,30-39,36
2021-W32,40-49,64
2021-W32,50-59,123
2021-W32,60-69,317
2021-W32,70-79,632
2021-W32,80-129,841
2021-W33,70-79,587
2021-W33,80-129,835
2021-W33,60-69,306
2021-W33,50-59,134
2021-W33,40-49,62
2021-W33,30-39,32
2021-W33,0-29,27
2021-W34,0-29,26
2021-W34,30-39,21
2021-W34,40-49,45
2021-W34,50-59,116
2021-W34,60-69,319
2021-W34,70-79,588
2021-W34,80-129,840
2021-W35,70-79,546
2021-W35,60-69,305
2021-W35,50-59,141
2021-W35,80-129,901
2021-W35,30-39,23
2021-W35,0-29,20
2021-W35,40-49,63
2021-W36,70-79,653
2021-W36,60-69,302
2021-W36,50-59,125
2021-W36,80-129,897
2021-W36,30-39,28
2021-W36,0-29,16
2021-W36,40-49,53
2021-W37,0-29,19
2021-W37,30-39,24
2021-W37,40-49,48
2021-W37,50-59,139
2021-W37,60-69,328
2021-W37,70-79,658
2021-W37,80-129,909
2021-W38,70-79,615
2021-W38,80-129,920
2021-W38,60-69,306
2021-W38,50-59,151
2021-W38,40-49,61
2021-W38,30-39,24
2021-W38,0-29,21
2021-W39,0-29,19
2021-W39,30-39,19
2021-W39,40-49,59
2021-W39,50-59,129
2021-W39,60-69,326
2021-W39,70-79,578
2021-W39,80-129,944
2021-W40,70-79,614
2021-W40,60-69,313
2021-W40,50-59,140
2021-W40,80-129,935
2021-W40,30-39,16
2021-W40,0-29,23
2021-W40,40-49,71
2021-W41,70-79,659
2021-W41,60-69,354
2021-W41,50-59,131
2021-W41,80-129,985
2021-W41,30-39,13
2021-W41,0-29,18
2021-W41,40-49,57
2021-W42,0-29,15
2021-W42,30-39,30
2021-W42,40-49,66
2021-W42,50-59,150
2021-W42,60-69,368
2021-W42,70-79,669
2021-W42,80-129,1013
2021-W43,70-79,791
2021-W43,80-129,1142
2021-W43,60-69,366
2021-W43,50-59,146
2021-W43,40-49,71
2021-W43,30-39,32
2021-W43,0-29,22
2021-W44,0-29,15
2021-W44,30-39,28
2021-W44,40-49,71
2021-W44,50-59,156
2021-W44,60-69,389
2021-W44,70-79,783
2021-W44,80-129,1249
2021-W45,70-79,857
2021-W45,60-69,464
2021-W45,50-59,164
2021-W45,80-129,1275
2021-W45,30-39,31
2021-W45,0-29,22
2021-W45,40-49,70
2021-W46,70-79,942
2021-W46,60-69,446
2021-W46,50-59,167
2021-W46,80-129,1371
2021-W46,30-39,27
2021-W46,0-29,31
2021-W46,40-49,63
2021-W47,0-29,17
2021-W47,30-39,30
2021-W47,40-49,85
2021-W47,50-59,182
2021-W47,60-69,496
2021-W47,70-79,1000
2021-W47,80-129,1425
2021-W48,70-79,1042
2021-W48,80-129,1525
2021-W48,60-69,524
2021-W48,50-59,169
2021-W48,40-49,79
2021-W48,30-39,26
2021-W48,0-29,23
2021-W49,0-29,22
2021-W49,30-39,29
2021-W49,40-49,82
2021-W49,50-59,191
2021-W49,60-69,538
2021-W49,70-79,1037
2021-W49,80-129,1471
2021-W50,70-79,971
2021-W50,60-69,489
2021-W50,50-59,190
2021-W50,80-129,1351
2021-W50,30-39,26
2021-W50,0-29,19
2021-W50,40-49,86
2021-W51,70-79,908
2021-W51,60-69,455
2021-W51,50-59,184
2021-W51,80-129,1263
2021-W51,30-39,25
2021-W51,0-29,18
2021-W51,40-49,84
2021-W52,0-29,22
2021-W52,30-39,30
2021-W52,40-49,82
2021-W52,50-59,197
2021-W52,60-69,434
2021-W52,70-79,861
2021-W52,80-129,1145
2022-W01,70-79,758
2022-W01,80-129,1108
2022-W01,60-69,411
2022-W01,50-59,158
2022-W01,40-49,67
2022-W01,30-39,32
2022-W01,0-29,18
2022-W02,0-29,24
2022-W02,30-39,21
2022-W02,40-49,64
2022-W02,50-59,167
2022-W02,60-69,409
2022-W02,70-79,770
2022-W02,80-129,1099
2022-W03,70-79,717
2022-W03,60-69,354
2022-W03,50-59,134
2022-W03,80-129,1061
2022-W03,30-39,18
2022-W03,0-29,13
2022-W03,40-49,61
2022-W04,70-79,713
2022-W04,60-69,366
2022-W04,50-59,140
2022-W04,80-129,1036
2022-W04,30-39,30
2022-W04,0-29,21
2022-W04,40-49,66
2022-W05,0-29,27
2022-W05,30-39,17
2022-W05,40-49,65
2022-W05,50-59,166
2022-W05,60-69,400
2022-W05,70-79,738
2022-W05,80-129,1215
2022-W06,70-79,838
2022-W06,80-129,1237
2022-W06,60-69,347
2022-W06,50-59,150
2022-W06,40-49,54
2022-W06,30-39,20
2022-W06,0-29,30
2022-W07,0-29,17
2022-W07,30-39,18
2022-W07,40-49,74
2022-W07,50-59,147
2022-W07,60-69,352
2022-W07,70-79,800
2022-W07,80-129,1207
2022-W08,70-79,722
2022-W08,60-69,344
2022-W08,50-59,132
2022-W08,80-129,1188
2022-W08,30-39,29
2022-W08,0-29,23
2022-W08,40-49,58
2022-W09,70-79,737
2022-W09,60-69,318
2022-W09,50-59,149
2022-W09,80-129,1081
2022-W09,30-39,27
2022-W09,0-29,18
2022-W09,40-49,74
2022-W10,0-29,15
2022-W10,30-39,22
2022-W10,40-49,69
2022-W10,50-59,148
2022-W10,60-69,381
2022-W10,70-79,659
2022-W10,80-129,1090
2022-W11,70-79,648
2022-W11,80-129,1068
2022-W11,60-69,366
2022-W11,50-59,125
2022-W11,40-49,55
2022-W11,30-39,19
2022-W11,0-29,20
2022-W12,0-29,22
2022-W12,30-39,18
2022-W12,40-49,48
2022-W12,50-59,151
2022-W12,60-69,356
2022-W12,70-79,759
2022-W12,80-129,1098
2022-W13,70-79,726
2022-W13,60-69,383
2022-W13,50-59,153
2022-W13,80-129,1131
2022-W13,30-39,20
2022-W13,0-29,24
2022-W13,40-49,68
2022-W14,70-79,693
2022-W14,60-69,357
2022-W14,50-59,145
2022-W14,80-129,1135
2022-W14,30-39,20
2022-W14,0-29,11
2022-W14,40-49,54
2022-W15,0-29,16
2022-W15,30-39,23
2022-W15,40-49,59
2022-W15,50-59,120
2022-W15,60-69,336
2022-W15,70-79,708
2022-W15,80-129,1042
2022-W16,60-69,275
2022-W16,80-129,1109
2022-W16,50-59,141
2022-W16,70-79,680
2022-W16,30-39,22
2022-W16,40-49,63
2022-W16,0-29,21
2022-W17,0-29,28
2022-W17,30-39,27
2022-W17,40-49,61
2022-W17,50-59,138
2022-W17,60-69,307
2022-W17,70-79,678
2022-W17,80-129,1002
2022-W18,70-79,666
2022-W18,60-69,317
2022-W18,50-59,119
2022-W18,80-129,1025
2022-W18,30-39,33
2022-W18,0-29,23
2022-W18,40-49,78
2022-W19,70-79,674
2022-W19,60-69,347
2022-W19,50-59,128
2022-W19,80-129,929
2022-W19,30-39,31
2022-W19,0-29,13
2022-W19,40-49,60
2022-W20,0-29,15
2022-W20,30-39,26
2022-W20,40-49,59
2022-W20,50-59,128
2022-W20,60-69,305
2022-W20,70-79,620
2022-W20,80-129,878
2022-W21,70-79,600
2022-W21,80-129,816
2022-W21,60-69,249
2022-W21,50-59,126
2022-W21,40-49,68
2022-W21,30-39,16
2022-W21,0-29,14
2022-W22,0-29,20
2022-W22,30-39,22
2022-W22,40-49,43
2022-W22,50-59,143
2022-W22,60-69,271
2022-W22,70-79,623
2022-W22,80-129,926
2022-W23,70-79,610
2022-W23,60-69,303
2022-W23,50-59,121
2022-W23,80-129,922
2022-W23,30-39,21
2022-W23,0-29,24
2022-W23,40-49,59
2022-W24,70-79,589
2022-W24,60-69,298
2022-W24,50-59,113
2022-W24,80-129,870
2022-W24,30-39,28
2022-W24,0-29,13
2022-W24,40-49,62
2022-W25,0-29,18
2022-W25,30-39,28
2022-W25,40-49,52
2022-W25,50-59,119
2022-W25,60-69,288
2022-W25,70-79,564
2022-W25,80-129,907
2022-W26,70-79,649
2022-W26,80-129,967
2022-W26,60-69,297
2022-W26,50-59,126
2022-W26,40-49,75
2022-W26,30-39,30
2022-W26,0-29,21
2022-W27,0-29,24
2022-W27,30-39,15
2022-W27,40-49,52
2022-W27,50-59,119
2022-W27,60-69,282
2022-W27,70-79,554
2022-W27,80-129,826
2022-W28,70-79,572
2022-W28,60-69,256
2022-W28,50-59,129
2022-W28,80-129,885
2022-W28,30-39,26
2022-W28,0-29,17
2022-W28,40-49,70
2022-W29,70-79,721
2022-W29,60-69,308
2022-W29,50-59,136
2022-W29,80-129,1049
2022-W29,30-39,19
2022-W29,0-29,26
2022-W29,40-49,52
2022-W30,0-29,28
2022-W30,30-39,25
2022-W30,40-49,61
2022-W30,50-59,118
2022-W30,60-69,318
2022-W30,70-79,657
2022-W30,80-129,976
2022-W31,70-79,680
2022-W31,80-129,998
2022-W31,60-69,264
2022-W31,50-59,140
2022-W31,40-49,63
2022-W31,30-39,25
2022-W31,0-29,29
2022-W32,0-29,24
2022-W32,30-39,30
2022-W32,40-49,63
2022-W32,50-59,143
2022-W32,60-69,325
2022-W32,70-79,655
2022-W32,80-129,916
2022-W33,70-79,608
2022-W33,60-69,302
2022-W33,50-59,122
2022-W33,80-129,1044
2022-W33,30-39,22
2022-W33,0-29,23
2022-W33,40-49,60
2022-W34,70-79,592
2022-W34,60-69,292
2022-W34,50-59,134
2022-W34,80-129,970
2022-W34,30-39,18
2022-W34,0-29,27
2022-W34,40-49,70
2022-W35,0-29,22
2022-W35,30-39,24
2022-W35,40-49,64
2022-W35,50-59,126
2022-W35,60-69,297
2022-W35,70-79,618
2022-W35,80-129,875
2022-W36,60-69,308
2022-W36,80-129,969
2022-W36,50-59,114
2022-W36,70-79,656
2022-W36,30-39,25
2022-W36,0-29,17
2022-W36,40-49,70
2022-W37,0-29,16
2022-W37,30-39,33
2022-W37,40-49,63
2022-W37,50-59,137
2022-W37,60-69,329
2022-W37,70-79,664
2022-W37,80-129,977
2022-W38,70-79,688
2022-W38,60-69,332
2022-W38,50-59,130
2022-W38,80-129,1025
2022-W38,30-39,22
2022-W38,0-29,16
2022-W38,40-49,68
2022-W39,70-79,683
2022-W39,60-69,326
2022-W39,50-59,146
2022-W39,80-129,1085
2022-W39,30-39,22
2022-W39,0-29,23
2022-W39,40-49,65
2022-W40,0-29,22
2022-W40,30-39,22
2022-W40,40-49,60
2022-W40,50-59,138
2022-W40,60-69,337
2022-W40,70-79,717
2022-W40,80-129,1101
2022-W41,70-79,720
2022-W41,80-129,1061
2022-W41,60-69,314
2022-W41,50-59,124
2022-W41,40-49,72
2022-W41,30-39,22
2022-W41,0-29,25
2022-W42,0-29,18
2022-W42,30-39,26
2022-W42,40-49,59
2022-W42,50-59,122
2022-W42,60-69,317
2022-W42,70-79,645
2022-W42,80-129,1114
2022-W43,70-79,664
2022-W43,60-69,330
2022-W43,50-59,121
2022-W43,80-129,1055
2022-W43,30-39,17
2022-W43,0-29,36
2022-W43,40-49,56
2022-W44,70-79,610
2022-W44,60-69,289
2022-W44,50-59,125
2022-W44,80-129,1014
2022-W44,30-39,27
2022-W44,0-29,23
2022-W44,40-49,61
2022-W45,0-29,16
2022-W45,30-39,19
2022-W45,40-49,64
2022-W45,50-59,118
2022-W45,60-69,324
2022-W45,70-79,683
2022-W45,80-129,985
2022-W46,60-69,307
2022-W46,80-129,991
2022-W46,50-59,126
2022-W46,70-79,658
2022-W46,30-39,33
2022-W46,0-29,21
2022-W46,40-49,61
2022-W47,0-29,23
2022-W47,30-39,30
2022-W47,40-49,56
2022-W47,50-59,130
2022-W47,60-69,297
2022-W47,70-79,700
2022-W47,80-129,1001
2022-W48,70-79,703
2022-W48,60-69,327
2022-W48,50-59,145
2022-W48,80-129,1124
2022-W48,30-39,28
2022-W48,0-29,17
2022-W48,40-49,75
2022-W49,70-79,708
2022-W49,60-69,345
2022-W49,50-59,143
2022-W49,80-129,1128
2022-W49,30-39,24
2022-W49,0-29,19
2022-W49,40-49,60
2022-W50,0-29,24
2022-W50,30-39,35
2022-W50,40-49,67
2022-W50,50-59,134
2022-W50,60-69,404
2022-W50,70-79,809
2022-W50,80-129,1230
2022-W51,60-69,345
2022-W51,80-129,1434
2022-W51,50-59,152
2022-W51,70-79,908
2022-W51,30-39,24
2022-W51,0-29,17
2022-W51,40-49,89
2022-W52,70-79,890
2022-W52,60-69,405
2022-W52,50-59,149
2022-W52,80-129,1535
2022-W52,30-39,28
2022-W52,0-29,24
2022-W52,40-49,84
2023-W01,0-29,13
2023-W01,30-39,31
2023-W01,40-49,72
2023-W01,50-59,121
2023-W01,60-69,366
2023-W01,70-79,876
2023-W01,80-129,1382
2023-W02,80-129,1207
2023-W02,70-79,761
2023-W02,60-69,343
2023-W02,30-39,17
2023-W02,40-49,73
2023-W02,0-29,20
2023-W02,50-59,139
2023-W03,80-129,1171
2023-W03,60-69,335
2023-W03,50-59,144
2023-W03,70-79,693
2023-W03,30-39,22
2023-W03,0-29,18
2023-W03,40-49,50
2023-W04,70-79,683
2023-W04,0-29,15
2023-W04,30-39,15
2023-W04,40-49,54
2023-W04,50-59,133
2023-W04,60-69,301
2023-W04,80-129,1018
