tyden,vek,poradi_davky,pocet_davek
2021-W13,50-59,2,14443
2021-W13,0-29,2,4050
2021-W13,40-49,2,12984
2021-W13,40-49,1,9800
2021-W13,30-39,2,6627
2021-W13,30-39,1,4975
2021-W13,0-29,1,3211
2021-W13,50-59,1,10091
2021-W14,60-69,2,9497
2021-W14,70-79,1,75327
2021-W14,60-69,1,20151
2021-W14,80-129,1,13279
2021-W14,80-129,2,19132
2021-W14,70-79,2,76614
2021-W14,50-59,2,14630
2021-W14,50-59,1,13295
2021-W14,40-49,2,13273
2021-W14,40-49,1,12965
2021-W14,30-39,2,6918
2021-W14,30-39,1,6769
2021-W14,0-29,2,5036
2021-W14,0-29,1,4010
2021-W15,80-129,1,11846
2021-W15,70-79,2,80535
2021-W15,70-79,1,110711
2021-W15,60-69,2,9323
2021-W15,60-69,1,50017
2021-W15,50-59,2,15357
2021-W15,80-129,2,13251
2021-W15,40-49,2,14574
2021-W15,40-49,1,22753
2021-W15,30-39,2,6667
2021-W15,30-39,1,10970
2021-W15,0-29,2,4176
2021-W15,0-29,1,6129
2021-W15,50-59,1,23133
2021-W16,80-129,2,8078
2021-W16,80-129,1,7906
2021-W16,70-79,2,42079
2021-W16,70-79,1,79030
2021-W16,60-69,2,8223
2021-W16,60-69,1,111515
2021-W16,50-59,2,8576
2021-W16,50-59,1,26529
2021-W16,40-49,1,25035
2021-W16,30-39,2,4800
2021-W16,30-39,1,13286
2021-W16,0-29,2,3396
2021-W16,0-29,1,7910
2021-W16,40-49,2,8923
2021-W17,60-69,1,191677
2021-W17,80-129,1,6829
2021-W17,70-79,2,26970
2021-W17,70-79,1,53265
2021-W17,60-69,2,6576
2021-W17,80-129,2,5011
2021-W17,50-59,2,6976
2021-W17,40-49,2,7443
2021-W17,0-29,1,6609
2021-W17,0-29,2,2403
2021-W17,50-59,1,35008
2021-W17,30-39,2,3977
2021-W17,40-49,1,19542
2021-W17,30-39,1,10502
2021-W18,80-129,1,7154
2021-W18,70-79,2,16571
2021-W18,70-79,1,41241
2021-W18,60-69,2,5358
2021-W18,60-69,1,171332
2021-W18,50-59,2,4145
2021-W18,80-129,2,4420
2021-W18,40-49,2,4172
2021-W18,40-49,1,28669
2021-W18,30-39,2,1976
2021-W18,30-39,1,15225
2021-W18,0-29,2,1427
2021-W18,0-29,1,8533
2021-W18,50-59,1,146202
2021-W19,80-129,2,8766
2021-W19,80-129,1,6276
2021-W19,70-79,2,13267
2021-W19,70-79,1,30528
2021-W19,60-69,2,5199
2021-W19,60-69,1,96458
2021-W19,50-59,2,3689
2021-W19,50-59,1,208053
2021-W19,40-49,1,83642
2021-W19,30-39,2,1979
2021-W19,30-39,1,15493
2021-W19,0-29,1,9675
2021-W19,40-49,2,3710
2021-W19,0-29,2,1379
2021-W20,80-129,2,12551
2021-W20,60-69,1,52802
2021-W20,80-129,1,4530
2021-W20,70-79,2,46156
2021-W20,70-79,1,20418
2021-W20,60-69,2,15403
2021-W20,50-59,2,10968
2021-W20,40-49,2,10225
2021-W20,40-49,1,209783
2021-W20,30-39,2,5245
2021-W20,30-39,1,12736
2021-W20,0-29,2,3215
2021-W20,0-29,1,8761
2021-W20,50-59,1,112197
2021-W21,80-129,1,3496
2021-W21,70-79,2,93197
2021-W21,70-79,1,14724
2021-W21,60-69,2,44035
2021-W21,60-69,1,33256
2021-W21,50-59,2,26879
2021-W21,50-59,1,56538
2021-W21,80-129,2,16585
2021-W21,40-49,1,174090
2021-W21,30-39,2,11585
2021-W21,30-39,1,50797
2021-W21,0-29,3,1
2021-W21,0-29,2,6292
2021-W21,0-29,1,8847
2021-W21,40-49,2,24558
2021-W22,80-129,2,16318
2021-W22,80-129,1,3131
2021-W22,70-79,2,89495
2021-W22,70-79,1,12832
2021-W22,60-69,2,103248
2021-W22,60-69,1,26734
2021-W22,50-59,2,30056
2021-W22,50-59,1,40300
2021-W22,40-49,1,129181
2021-W22,30-39,2,14025
2021-W22,30-39,1,128059
2021-W22,0-29,2,8274
2021-W22,0-29,1,20142
2021-W22,40-49,2,27665
2021-W23,60-69,1,21409
2021-W23,80-129,2,13500
2021-W23,80-129,1,3050
2021-W23,70-79,2,67999
2021-W23,70-79,1,10851
2021-W23,60-69,2,178997
2021-W23,50-59,2,37438
2021-W23,0-29,2,7195
2021-W23,40-49,2,22803
2021-W23,40-49,1,74164
2021-W23,30-39,2,11479
2021-W23,30-39,1,130752
2021-W23,0-29,3,1
2021-W23,50-59,1,30119
2021-W23,0-29,1,78635
2021-W24,80-129,1,2035
2021-W24,70-79,2,54293
2021-W24,70-79,1,7372
2021-W24,60-69,2,164624
2021-W24,60-69,1,13671
2021-W24,50-59,2,141802
2021-W24,80-129,2,10967
2021-W24,40-49,2,33294
2021-W24,40-49,1,38563
2021-W24,30-39,2,16388
2021-W24,30-39,1,66527
2021-W24,0-29,2,8983
2021-W24,0-29,1,105507
2021-W24,50-59,1,18040
2021-W25,80-129,2,10070
2021-W25,80-129,1,1547
2021-W25,70-79,2,44523
2021-W25,70-79,1,5480
2021-W25,60-69,2,97438
2021-W25,60-69,1,9947
2021-W25,50-59,2,202260
2021-W25,50-59,1,13608
2021-W25,40-49,1,24719
2021-W25,30-39,2,19227
2021-W25,30-39,1,42848
2021-W25,0-29,2,11073
2021-W25,0-29,1,89956
2021-W25,40-49,2,90982
2021-W26,60-69,1,9261
2021-W26,80-129,2,9328
2021-W26,80-129,1,1323
2021-W26,70-79,2,39873
2021-W26,70-79,1,5002
2021-W26,60-69,2,62177
2021-W26,50-59,2,117244
2021-W26,50-59,1,12264
2021-W26,40-49,2,219835
2021-W26,40-49,1,19969
2021-W26,30-39,2,21963
2021-W26,30-39,1,29191
2021-W26,0-29,3,1
2021-W26,0-29,2,14220
2021-W26,0-29,1,73781
2021-W27,80-129,1,784
2021-W27,70-79,2,20034
2021-W27,70-79,1,3590
2021-W27,60-69,2,31131
2021-W27,60-69,1,6951
2021-W27,50-59,3,1
2021-W27,50-59,2,49263
2021-W27,80-129,2,4383
2021-W27,40-49,2,151620
2021-W27,40-49,1,16386
2021-W27,30-39,2,50983
2021-W27,30-39,1,21868
2021-W27,0-29,2,12203
2021-W27,0-29,1,51791
